title/price/description/image
Lexus RX/$ 26 000/2012 г., 3.5 л., автоматвнедорожник 5 дв., бензинруль слева/"https://im.mashina.kg/tachka/images//6/6/5/665d150dabd1c733c4d22f258ee47aef_240x180.jpg"
Nissan Leaf/$ 11 300/2013 г., вариаторхэтчбек 5 дв., электроруль слева, 65 000 км/"https://im.mashina.kg/tachka/images//7/6/f/76fc59b60f22e8bcfd98b14347db7e9d_240x180.jpg"
Chevrolet Spark/$ 7 800/2016 г., 0.8 л., автоматхэтчбек 5 дв., бензинруль слева, 52 381 км/"https://im.mashina.kg/tachka/images//5/0/1/5011b3e2329c1f904560321880260d4a_240x180.jpg"
BMW 3 Серия/$ 9 000/2008 г., 2 л., автоматседан, бензинруль слева, 188 000 км/"https://im.mashina.kg/tachka/images//f/e/4/fe47115de7c24c30aeb880a144910eef_240x180.jpg"
Toyota Corolla/$ 17 800/2017 г., 1.6 л., вариаторседан, бензинруль слева, 74 000 км/"https://im.mashina.kg/tachka/images//5/0/3/50357d11ab7b1b0faff14a1f995bd00b_240x180.jpg"
Kia K5 III Седан/$ 30 500/2020 г., 1.6 л., автоматседан, бензинруль слева, 3 000 км/"https://im.mashina.kg/tachka/images//5/7/2/572a45e563d944180e13cb40a7a2587e_240x180.jpg"
Toyota Windom/$ 9 500/2003 г., 3 л., автоматседан, бензинруль справа, 186 000 км/"https://im.mashina.kg/tachka/images//b/5/c/b5c45954c7f19ee0ab829c32c280b1aa_240x180.jpg"
Toyota Camry/$ 12 500/2013 г., 2.5 л., автоматседан, бензинруль слева/"https://im.mashina.kg/tachka/images//1/8/8/1885dc82ddb68cb6ef0ef15ceb223eb4_240x180.jpg"
Audi A6/$ 19 300/2013 г., 2 л., вариаторуниверсал, дизельруль слева, 80 000 км/"https://im.mashina.kg/tachka/images//a/2/4/a24094199eb8e241bd4ba698f3cec5b5_240x180.jpg"
Lexus LX/$ 31 500/2008 г., 5.7 л., автоматвнедорожник 5 дв., бензинруль слева, 159 000 км/"https://im.mashina.kg/tachka/images//b/6/f/b6fb6972eff89317135eb6b094c4382b_240x180.jpg"
Infiniti QX50/$ 22 000/2017 г., 3.7 л., автоматвнедорожник 5 дв., бензинруль слева, 79 000 км/"https://im.mashina.kg/tachka/images//8/3/b/83b38b6af20c09ed13b8405067e774ad_240x180.jpg"
Toyota Camry/$ 8 500/2009 г., 2.4 л., автоматседан, бензинруль слева, 147 000 км/"https://im.mashina.kg/tachka/images//b/8/f/b8f5f746b9710b7965769ee9b7ef5b44_240x180.jpg"
Mercedes-Benz E-класс/$ 6 038/2001 г., 3.2 л., автоматуниверсал, дизельруль слева, 432 000 км/"https://im.mashina.kg/tachka/images//4/d/d/4dda3531d1b4d1778dfe4b63cd85784f_240x180.jpg"
Toyota RAV4/$ 27 700/2019 г., 2.5 л., автоматвнедорожник 5 дв., бензинруль слева, 57 000 км/"https://im.mashina.kg/tachka/images//a/a/f/aaf25cdd95a93f7a7208756adc7caa19_240x180.jpg"
Hyundai Santa Fe/$ 5 400/2001 г., 2.7 л., автоматвнедорожник 5 дв., бензинруль слева, 190 000 км/"https://im.mashina.kg/tachka/images//3/6/a/36a334110971275308177f420db29ae8_240x180.jpg"
Honda Accord/$ 11 500/2008 г., 3.5 л., автоматседан, бензинруль слева/"https://im.mashina.kg/tachka/images//5/0/e/50e70b5c5c3b56647f277bff8034d969_240x180.jpg"
Subaru Impreza/$ 10 500/2016 г., 2 л., вариаторхэтчбек 5 дв., бензинруль слева, 110 000 км/"https://im.mashina.kg/tachka/images//e/c/5/ec5b4eff1cc41618a8b9c9413f147ebd_240x180.jpg"
Renault Samsung QM6/$ 19 900/2018 г., 2 л., вариаторвнедорожник 5 дв., дизельруль слева/"https://im.mashina.kg/tachka/images//f/d/b/fdb977ed34847c8bb132d65a45adbd0a_240x180.jpg"
BMW X5/$ 19 900/2013 г., 3 л., автоматвнедорожник 5 дв., бензинруль слева/"https://im.mashina.kg/tachka/images//7/b/e/7be758f7c523f980c04bd7cf903a6ea1_240x180.jpg"
Toyota Crown/$ 9 300/2003 г., 2.5 л., автоматседан, бензинруль справа, 147 000 км/"https://im.mashina.kg/tachka/images//8/7/c/87c8f7f7d6de8f69dcc2301b9a7a3687_240x180.jpg"
Toyota Yaris/$ 4 500/2003 г., 1.3 л., механикахэтчбек 5 дв., бензинруль слева, 374 000 км/"https://im.mashina.kg/tachka/images//3/9/7/3978b44976d96e5fe044e9c1d29ed7f5_240x180.jpg"
Lexus LX/$ 29 500/2008 г., 5.7 л., автоматвнедорожник 5 дв., бензинруль слева, 146 500 км/"https://im.mashina.kg/tachka/images//b/2/3/b239a6815682c81a7911622921dd17af_240x180.jpg"
Jaguar XF/$ 15 300/2009 г., 3 л., автоматседан, бензинруль слева, 125 000 км/"https://im.mashina.kg/tachka/images//2/1/6/216c2405b5fc9f5806e5436935918ebe_240x180.jpg"
Toyota Highlander/$ 19 200/2011 г., 3.5 л., автоматвнедорожник 5 дв., бензинруль слева/"https://im.mashina.kg/tachka/images//9/f/0/9f060b5a2afa7eb36b643a9be9980388_240x180.jpg"
Toyota Prius/$ 15 000/2016 г., 1.8 л., вариаторхэтчбек 5 дв., гибридруль слева, 80 000 км/"https://im.mashina.kg/tachka/images//6/a/c/6ac11c1602013e367cc8bc40723911a3_240x180.jpg"
Volkswagen Phaeton/$ 7 800/2004 г., 4.2 л., автоматседан, бензинруль слева, 230 000 км/"https://im.mashina.kg/tachka/images//4/9/5/4950e338a54bb09cacf180897f3d7b04_240x180.jpg"
Lexus LX/$ 63 900/2015 г., 5.7 л., автоматвнедорожник 5 дв., бензинруль слева, 121 200 км/"https://im.mashina.kg/tachka/images//1/7/9/1798d1ad280d03ef755f908cced7b1b2_240x180.jpg"
Honda Fit/$ 7 000/2005 г., 1.3 л., вариаторхэтчбек 5 дв., бензинруль справа, 27 000 км/"https://im.mashina.kg/tachka/images//1/5/e/15ee77a614690dbfa55bd66a63855809_240x180.jpg"
Ford Tourneo Connect/$ 17 800/2018 г., 1.6 л., роботкомпактвэн, бензинруль слева, 152 000 км/"https://im.mashina.kg/tachka/images//0/2/8/0284aafefd6c9a0098753083e3c2efeb_240x180.jpg"
Toyota Camry/$ 16 900/2016 г., 2.5 л., автоматседан, бензинруль слева/"https://im.mashina.kg/tachka/images//2/7/e/27e4c7f1dfcae544752026c58c4c00e7_240x180.jpg"
Lexus GX/$ 28 500/2008 г., 4.7 л., автоматвнедорожник 5 дв., бензинруль слева, 122 000 км/"https://im.mashina.kg/tachka/images//b/c/3/bc3950d8f4b149c119856ea58c85eea0_240x180.jpg"
Toyota Corolla/$ 16 300/2017 г., 1.8 л., вариаторседан, бензинруль слева, 68 000 км/"https://im.mashina.kg/tachka/images//8/b/1/8b152a7f11006cc272c6b2f19cc413e9_240x180.jpg"
Mercedes-Benz G-класс AMG/$ 43 000/2008 г., 5.4 л., автоматвнедорожник 5 дв., бензинруль слева, 175 000 км/"https://im.mashina.kg/tachka/images//0/1/1/011c42869b10d87225f2fa186f6230f6_240x180.jpg"
Lexus GS/$ 24 000/2014 г., 2.5 л., автоматседан, бензинруль слева, 153 000 км/"https://im.mashina.kg/tachka/images//6/b/5/6b5d4c9432739b3e110928cc929dc58d_240x180.jpg"
Honda Fit/$ 6 700/2005 г., 1.3 л., вариаторхэтчбек 5 дв., бензинруль справа/"https://im.mashina.kg/tachka/images//d/9/f/d9f5d956357e454e374e43a47c719cf2_240x180.jpg"
Mercedes-Benz E-класс/$ 12 500/2001 г., 3.2 л., автоматседан, бензинруль слева, 160 000 км/"https://im.mashina.kg/tachka/images//5/6/1/5617d96252a1a1aee68a2ea743636d1e_240x180.jpg"
Toyota Land Cruiser/$ 33 500/2008 г., 4.7 л., автоматвнедорожник 5 дв., бензинруль слева, 250 000 км/"https://im.mashina.kg/tachka/images//2/d/d/2dda8aa93685d6e72ad3ab838ed12670_240x180.jpg"
BMW 5 Серия/$ 43 000/2019 г., 2 л., автоматседан, дизельруль слева, 48 000 км/"https://im.mashina.kg/tachka/images//a/7/b/a7bef3a361cf8ea53136f6643308b1ef_240x180.jpg"
Toyota RAV4/$ 24 000/2016 г., 2.5 л., вариаторвнедорожник 5 дв., гибридруль слева, 180 000 км/"https://im.mashina.kg/tachka/images//4/d/5/4d5867fe168d653e533adaa57ce6b684_240x180.jpg"
Toyota RAV4/$ 20 800/2017 г., 2.5 л., автоматвнедорожник 5 дв., бензинруль слева, 104 000 км/"https://im.mashina.kg/tachka/images//7/c/e/7cec6a0ff17f854dac5487066a86300e_240x180.jpg"
Nissan Pathfinder/$ 7 800/2001 г., 3.3 л., автоматвнедорожник 5 дв., бензинруль справа, 230 000 км/"https://im.mashina.kg/tachka/images//5/9/4/594eaf107812537fb278b16b55b12086_240x180.jpg"
Honda Fit/$ 9 300/2010 г., 1.5 л., вариаторхэтчбек 5 дв., бензинруль слева, 216 000 км/"https://im.mashina.kg/tachka/images//b/7/8/b78965e8e2478529ad8fd5480aac8ac2_240x180.jpg"
Toyota RAV4/$ 18 500/2016 г., 2.5 л., автоматвнедорожник 5 дв., бензинруль слева, 85 000 км/"https://im.mashina.kg/tachka/images//5/b/0/5b03fb5247e5009a81224d989f78ca45_240x180.jpg"
Toyota Camry/$ 19 300/2015 г., 2.5 л., вариаторседан, гибридруль слева/"https://im.mashina.kg/tachka/images//e/6/7/e67eb8fb3c811e569addda89c033c003_240x180.jpg"
Land Rover Range Rover/$ 22 800/2010 г., 5 л., автоматвнедорожник 5 дв., бензинруль слева, 215 000 км/"https://im.mashina.kg/tachka/images//a/2/b/a2b5cbc4ab2a84cb1e676369dfef5ef1_240x180.jpg"
Chevrolet Spark/$ 8 700/2017 г., 1.4 л., вариаторхэтчбек 5 дв., бензинруль слева, 44 000 км/"https://im.mashina.kg/tachka/images//5/4/a/54a0dac08f3dfbdee13a9ac903d83377_240x180.jpg"
Toyota Camry/$ 16 000/2015 г., 2.5 л., автоматседан, бензинруль слева, 125 000 км/"https://im.mashina.kg/tachka/images//7/4/c/74c5f8f052837293dd2de4c0f72cdee8_240x180.jpg"
Lexus LX/$ 34 000/2008 г., 5.7 л., автоматвнедорожник 5 дв., бензинруль слева, 206 804 км/"https://im.mashina.kg/tachka/images//c/1/3/c13b37245e9f0ecbc11e0b1b6699d8ad_240x180.jpg"
Lexus ES/$ 47 000/2018 г., 2.5 л., вариаторседан, гибридруль слева, 70 000 км/"https://im.mashina.kg/tachka/images//9/0/4/9044de132d3e9ba61787332def79b63d_240x180.jpg"
Lexus RX/$ 13 500/2005 г., 3 л., автоматвнедорожник 5 дв., бензинруль слева, 196 000 км/"https://im.mashina.kg/tachka/images//a/0/8/a08a85868f00072e3c38ea65c2c3c610_240x180.jpg"
Toyota Camry/$ 14 500/2012 г., 2.5 л., автоматседан, бензинруль слева, 185 000 км/"https://im.mashina.kg/tachka/images//e/1/5/e15ad18111bd68986ba2b1856cec1568_240x180.jpg"
Lexus RX/$ 24 500/2010 г., 3.5 л., автоматвнедорожник 5 дв., бензинруль слева, 140 000 км/"https://im.mashina.kg/tachka/images//4/4/5/445773dcce14e0b9a221b424052184c5_240x180.jpg"
Subaru Outback/$ 17 000/2016 г., 2.5 л., вариаторуниверсал, бензинруль слева, 32 000 км/"https://im.mashina.kg/tachka/images//e/b/4/eb4a8caf5ff801ffae11a1206ebf4872_240x180.jpg"
Toyota Camry/$ 15 100/2015 г., 2.5 л., автоматседан, бензинруль слева, 178 000 км/"https://im.mashina.kg/tachka/images//a/c/3/ac3faf756642cbc54af3a5c3597c6676_240x180.jpg"
Toyota Probox/$ 5 400/2005 г., 1.5 л., автоматуниверсал, бензинруль справа/"https://im.mashina.kg/tachka/images//a/0/6/a0689ad767b4ed9e698b9a7346971d9a_240x180.jpg"
Toyota Crown/$ 9 700/2004 г., 3 л., автоматседан, бензинруль справа, 250 000 км/"https://im.mashina.kg/tachka/images//6/4/a/64a04eb22bbfd73d22a4923d3b6bf6e5_240x180.jpg"
Toyota Highlander/$ 43 000/2019 г., 3.5 л., автоматвнедорожник 5 дв., бензинруль слева, 68 000 км/"https://im.mashina.kg/tachka/images//3/9/a/39af4e0f9eed5bb818bbbf16ef533ff0_240x180.jpg"
ВАЗ (Lada) Priora/$ 3 270/2011 г., 1.6 л., механикаседан, бензинруль слева, 230 111 км/"https://im.mashina.kg/tachka/images//d/4/a/d4a68dd6930e1d69f7a74e8117dea7da_240x180.jpg"
Toyota Camry/$ 10 800/2005 г., 2.4 л., автоматседан, бензинруль слева, 189 000 км/"https://im.mashina.kg/tachka/images//6/9/e/69e8bafd33959245b24b621928d4a0b7_240x180.jpg"
BMW X6/$ 20 000/2009 г., 3 л., автоматвнедорожник 5 дв., бензинруль слева, 180 000 км/"https://im.mashina.kg/tachka/images//7/d/2/7d285f82cdd7f0f3a5892ef9118e73c9_240x180.jpg"
Toyota Camry/$ 17 300/2016 г., 2.5 л., автоматседан, бензинруль слева, 88 000 км/"https://im.mashina.kg/tachka/images//c/d/7/cd7ad992876a43d1b77498aa0c66aec5_240x180.jpg"
BMW 5 Серия/$ 17 500/2011 г., 3 л., автоматседан, бензинруль слева, 141 500 км/"https://im.mashina.kg/tachka/images//9/0/b/90be5192475dffdc4da1381148e1d442_240x180.jpg"
Land Rover Range Rover/$ 25 300/2011 г., 4.4 л., автоматвнедорожник 5 дв., дизельруль слева, 235 000 км/"https://im.mashina.kg/tachka/images//0/7/3/073ad32452dbd8e77d0d0b2d0e90f380_240x180.jpg"
Lexus GX/$ 34 000/2011 г., 4.6 л., автоматвнедорожник 5 дв., бензинруль слева, 140 000 км/
Toyota Land Cruiser/$ 100 000/2019 г., 4.6 л., автоматвнедорожник 5 дв., бензинруль слева, 77 км/"https://im.mashina.kg/tachka/images//0/f/8/0f85a61b5d80ebe17ebab7efaf16b03c_240x180.jpg"
Toyota Harrier/$ 12 800/2005 г., 3 л., автоматвнедорожник 5 дв., бензинруль справа, 145 000 км/"https://im.mashina.kg/tachka/images//6/b/d/6bdb003b39235cbacb715b74cf56dc0b_240x180.jpg"
Volkswagen Bora/$ 250 000/2003 г., 2.3 л., механикаседан, бензинруль слева, 300 000 км/"https://im.mashina.kg/tachka/images//1/4/7/147852cc1784d69dac022fca3a54628d_240x180.jpg"
Mercedes-Benz G-класс/$ 24 500/2003 г., 5 л., автоматвнедорожник 5 дв., бензинруль слева, 175 000 км/"https://im.mashina.kg/tachka/images//a/4/d/a4dc597279048f9891bf6191382cad91_240x180.jpg"
Kia K7/$ 12 500/"2010 г., 2.6 л., автоматседан, бензин / газруль слева, 113 000 км"/"https://im.mashina.kg/tachka/images//8/0/2/80254057d1504304fd7ecfa83c884b47_240x180.jpg"
Toyota RAV4/$ 21 600/2016 г., 2.5 л., автоматвнедорожник 5 дв., бензинруль слева, 43 000 км/"https://im.mashina.kg/tachka/images//0/f/4/0f44279b7e1a4a36aab1eb01c90dbea9_240x180.jpg"
